OBJECTNUMMER;SidewalkID;Streetname;Segments;NetworkType;ComfortLevelCode;ComfortLevel;SpaceclaimCode;Spaceclaim;SpaceclaimAantal;SituationCode;Situation;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT
3537;3537;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.936287 52.361384,4.936504 52.361406)";"LINESTRING(52.361384 4.936287,52.361406 4.936504)";4.9363954;52.36139485
3538;3538;"Sumatrastraat";"0005";"";"29";"2.9m";"FIETSREG|MEUBEL";"Geparkeerde fietsen gereguleerd - Straatmeubilair";2;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.936272 52.362068,4.936504 52.361406)";"LINESTRING(52.362068 4.936272,52.361406 4.936504)";4.936388;52.3617363
3539;3539;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.936014 52.362146,4.936046 52.362049)";"LINESTRING(52.362146 4.936014,52.362049 4.936046)";4.93603015;52.3620968
3540;3540;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.936236 52.362141,4.936272 52.362068)";"LINESTRING(52.362141 4.936236,52.362068 4.936272)";4.936254;52.36210445
3541;3541;"Sumatrastraat";"0006";"";"29";"2.9m";"FIETSREG";"Geparkeerde fietsen gereguleerd";1;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.936134 52.36243,4.936236 52.362141)";"LINESTRING(52.36243 4.936134,52.362141 4.936236)";4.9361849;52.36228565
3542;3542;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.935896 52.362503,4.935934 52.362392)";"LINESTRING(52.362503 4.935896,52.362392 4.935934)";4.935915;52.36244775
3543;3543;"Sumatrastraat";"0007";"";"29";"2.9m";"FIETSREG";"Geparkeerde fietsen gereguleerd";1;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.936313 52.362563,4.936134 52.36243)";"LINESTRING(52.362563 4.936313,52.36243 4.936134)";4.93622355;52.36249735
3544;3544;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.936313 52.362563,4.936311 52.362647)";"LINESTRING(52.362563 4.936313,52.362647 4.936311)";4.936312;52.36260605
3545;3545;"Sumatrastraat";"0008";"";"18";"1.8m";"FIETSREG";"Geparkeerde fietsen gereguleerd";1;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.935998 52.362831,4.936311 52.362647)";"LINESTRING(52.362831 4.935998,52.362647 4.936311)";4.9361544;52.36273955
3546;3546;"Sumatrastraat";"0009";"";"36PLUS";"3.6m of breder";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.935894 52.363094,4.935998 52.362831)";"LINESTRING(52.363094 4.935894,52.362831 4.935998)";4.935946;52.3629627
3547;3547;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.93561 52.363169,4.935649 52.363093)";"LINESTRING(52.363169 4.93561,52.363093 4.935649)";4.93562935;52.36313245
3548;3548;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.935894 52.363094,4.935858 52.363172)";"LINESTRING(52.363094 4.935894,52.363172 4.935858)";4.9358759;52.36313245
3549;3549;"Sumatrastraat";"0010";"";"18";"1.8m";"BROM|WINKEL|FIETSONREG";"Geparkeerde brommers/motoren - Geparkeerde fietsen ongereguleerd - Winkeluitstalling & reclameborden";3;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.935665 52.363653,4.935858 52.363172)";"LINESTRING(52.363653 4.935665,52.363172 4.935858)";4.93576145;52.36341095
3550;3550;"Dapperplein";"0001";"";"09";"0.9m";"WINKEL|FIETSONREG";"Geparkeerde fietsen ongereguleerd - Winkeluitstalling & reclameborden";2;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.927367 52.362126,4.927344 52.362277,4.927417 52.362395,4.927472 52.362459,4.927465 52.362551)";"LINESTRING(52.362126 4.927367,52.362277 4.927344,52.362395 4.927417,52.362459 4.927472,52.362551 4.927465)";4.92740795;52.362339
3551;3551;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.927367 52.362126,4.927402 52.362059)";"LINESTRING(52.362126 4.927367,52.362059 4.927402)";4.9273846;52.36209295
3552;3552;"Dapperplein";"0002";"";"22";"2.2m";"WINKEL|FIETSONREG";"Geparkeerde fietsen ongereguleerd - Winkeluitstalling & reclameborden";2;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.927826 52.361858,4.9276 52.361904,4.9275 52.361956,4.927402 52.362059)";"LINESTRING(52.361858 4.927826,52.361904 4.9276,52.361956 4.9275,52.362059 4.927402)";4.92761395;52.36195945
3553;3553;"Dapperplein";"0003";"";"36PLUS";"3.6m of breder";"MEUBEL|GROEN|TERRAS";"Groen - Straatmeubilair - Terrassen";3;"VOETGEENFI";"Voetgangersgebied, fietsen verboden";"LINESTRING(4.928121 52.36224,4.928151 52.362171,4.928127 52.362047,4.928027 52.361934)";"LINESTRING(52.36224 4.928121,52.362171 4.928151,52.362047 4.928127,52.361934 4.928027)";4.92808915;52.36208725
3554;3554;"Dapperplein";"0004";"";"36PLUS";"3.6m of breder";"WINKEL|MEUBEL|GROEN";"Groen - Straatmeubilair - Winkeluitstalling & reclameborden";3;"VOETGEENFI";"Voetgangersgebied, fietsen verboden";"LINESTRING(4.927653 52.362586,4.927696 52.362452,4.927816 52.362448,4.92794 52.362402,4.928121 52.36224)";"LINESTRING(52.362586 4.927653,52.362452 4.927696,52.362448 4.927816,52.362402 4.92794,52.36224 4.928121)";4.92788695;52.3624134
